,SnpCrckPop,ToucanSamXX,InMyOffice,UNluckeCharm,XCapnCrunchx739,EatsWheaties,xHoneySmacks
assists,636,1709,1262,585,1681,670,278
boosts,3768,9636,8679,3629,9358,4525,1295
dBNOs,1051,3685,3580,1257,3467,1554,566
dailyKills,1,2,7,6,2,0,1
dailyWins,1,1,1,0,1,0,0
damageDealt,166057.44,550857.56,574360.75,191232.5,515250.38,227226.61,82619.195
days,511,1004,613,540,941,517,259
headshotKills,206,734,800,244,712,266,98
heals,5292,10535,4757,2922,9368,5786,1153
killPoints,0,0,0,0,0,0,0
kills,987,3913,3573,1357,3635,1580,591
longestKill,505.25568,561.98883,588.3855,474.0125,483.5529,1894.3771,445.76462
longestTimeSurvived,2040.027,2185.694,2176,2043.892,2188,2044.542,2185.694
losses,2330,4019,2426,1428,3396,2377,940
maxKillStreaks,3,4,5,4,4,3,5
mostSurvivalTime,2040.027,2185.694,2176,2043.892,2188,2044.542,2185.694
rankPoints,0,0,0,0,0,0,0
rankPointsTitle,,,,,,,
revives,569,1175,791,290,1675,381,193
rideDistance,6672479.5,14090738,7642716,4533687.5,12531042,8171539.5,3228970
roadKills,5,34,50,9,31,35,15
roundMostKills,6,9,18,10,11,6,10
roundsPlayed,2441,4265,2647,1544,3661,2476,970
suicides,65,193,97,57,139,138,44
swimDistance,18647.012,40442.89,14422.704,13883.431,36580.22,35929.773,10207.869
teamKills,59,223,49,63,172,169,53
timeSurvived,2425368.5,4569401,2899306,1634428.9,3914547.5,2467163,982131.06
top10s,1090,2037,1364,763,1788,1070,424
vehicleDestroys,42,241,90,36,217,169,27
walkDistance,2738349,5461600,2908926,2142113.8,4645603,2909853.8,1297365.9
weaponsAcquired,12141,23367,14957,6462,23026,13418,3772
weeklyKills,1,8,16,6,8,0,1
weeklyWins,1,2,2,0,1,0,0
winPoints,0,0,0,0,0,0,0
wins,139,267,231,126,288,114,41
id,account.faac68b108964de6833b57d91f5bf250,account.3f86f1e71b70487e866b3d201b83032c,account.c29966f76c8c4fa092330d79e5f6714e,account.533b2072849a483b853c9b2600866150,account.8c7b3f7383d948d587ffb63874c95e23,account.dcd66b303ac4467c83e31efc95b9e739,account.6654c42c122444c8be1e2f9e459d071c
